Contact,City,Type,price / sq feet - Low,price / sq feet - Median,price / sq feet - High
HomesteadHOUSE,Homestead,HOUSE,3040,3810,4640
HomesteadCONDO,Homestead,CONDO,2432,3048,3712
NaranjaHOUSE,Naranja,HOUSE,3410,4410,5900
NaranjaCONDO,Naranja,CONDO,2728,3528,4720
PrincetonHOUSE,Princeton,HOUSE,4970,5770,7980
PrincetonCONDO,Princeton,CONDO,3976,4616,6384
GouldsHOUSE,Goulds,HOUSE,3050,3800,4650
GouldsCONDO,Goulds,CONDO,2440,3040,3720
Cutler BayHOUSE,Cutler Bay,HOUSE,3380,4090,4780
Cutler BayCONDO,Cutler Bay,CONDO,2704,3272,3824
Palmetto BayHOUSE,Palmetto Bay,HOUSE,3210,3930,4670
Palmetto BayCONDO,Palmetto Bay,CONDO,2568,3144,3736
KendallHOUSE,Kendall,HOUSE,3190,3830,4430
KendallCONDO,Kendall,CONDO,2552,3064,3544
PinecrestHOUSE,Pinecrest,HOUSE,5300,6040,7760
PinecrestCONDO,Pinecrest,CONDO,4240,4832,6208
Old CutlerHOUSE,Old Cutler,HOUSE,3280,4010,4860
Old CutlerCONDO,Old Cutler,CONDO,2624,3208,3888
MiamiHOUSE,Miami,HOUSE,4300,4750,5470
MiamiCONDO,Miami,CONDO,3440,3800,4376
West FlaglerHOUSE,West Flagler,HOUSE,2660,3140,3690
West FlaglerCONDO,West Flagler,CONDO,2128,2512,2952
East Little HavanaHOUSE,East Little Havana,HOUSE,3430,3840,4310
East Little HavanaCONDO,East Little Havana,CONDO,2744,3072,3448
WynwoodHOUSE,Wynwood,HOUSE,3350,4040,4820
WynwoodCONDO,Wynwood,CONDO,2680,3232,3856
EdgewaterHOUSE,Edgewater,HOUSE,3140,3950,4120
EdgewaterCONDO,Edgewater,CONDO,2512,3160,3296
Venetian IslandsHOUSE,Venetian Islands,HOUSE,5580,6350,7150
Venetian IslandsCONDO,Venetian Islands,CONDO,4464,5080,5720
Miami GardensHOUSE,Miami Gardens,HOUSE,1950,2480,2820
Miami GardensCONDO,Miami Gardens,CONDO,1560,1984,2256
Fort LauderdaleHOUSE,Fort Lauderdale,HOUSE,2980,3540,3980
Fort LauderdaleCONDO,Fort Lauderdale,CONDO,2384,2832,3184
Bay ColonyHOUSE,Bay Colony,HOUSE,3099,3682,4139
Bay ColonyCONDO,Bay Colony,CONDO,2479,2946,3311
Pompano BeachHOUSE,Pompano Beach,HOUSE,3223,3830,4304
Pompano BeachCONDO,Pompano Beach,CONDO,2578,3064,3443
Deerfield BeachHOUSE,Deerfield Beach,HOUSE,3351,3983,4476
Deerfield BeachCONDO,Deerfield Beach,CONDO,2681,3186,3581
Delray BeachHOUSE,Delray Beach,HOUSE,3485,4142,4655
Delray BeachCONDO,Delray Beach,CONDO,2788,3314,3724
